Plane ID,Flight Date,Departure Airport,Arrival Airport,Flight Distance,Flight Time,Fuel Used
N5MV,01/03/2024,nas,wtd,,1 hour3 minutes,320 gallons
N5MV,12/14/2023,lga,ewb,,1 hour3 minutes,320 gallons
N5MV,06/29/2023,lga,bos,,,310 gallons
N5MV,09/02/2023,mmu,hpn,,60 minutes,300 gallons
N5MV,11/04/2023,mmu,hpn,,59 minutes,300 gallons
N5MV,05/27/2024,lga,mmu,,58 minutes,290 gallons
N5MV,,mmu,lga,,58 minutes,290 gallons
N5MV,03/28/2024,yow,yyz,,58 minutes,290 gallons
N5MV,12/11/2023,lga,ewb,,58 minutes,290 gallons
N5MV,09/24/2023,hpn,mmu,,58 minutes,290 gallons
N5MV,08/09/2023,hpn,ptk,,58 minutes,290 gallons
N5MV,01/05/2023,mmu,lga,,58 minutes,290 gallons
N5MV,01/08/2024,nas,wtd,,57 minutes,290 gallons
N5MV,01/02/2023,hpn,mmu,,57 minutes,290 gallons
N5MV,12/14/2023,mmu,lga,,56 minutes,280 gallons
N5MV,12/12/2023,ewb,mmu,,56 minutes,280 gallons
N5MV,06/19/2023,ewb,lga,,56 minutes,280 gallons
N5MV,11/10/2023,lga,mmu,,55 minutes,280 gallons
N5MV,11/03/2023,lga,mmu,,55 minutes,280 gallons
N5MV,06/19/2023,lga,mmu,,55 minutes,280 gallons
N5MV,03/23/2023,mmu,lga,,55 minutes,280 gallons
N5MV,05/28/2024,cdw,hpn,,54 minutes,270 gallons
N5MV,02/25/2024,ril,ase,,54 minutes,270 gallons
N5MV,01/22/2024,lga,mmu,,54 minutes,270 gallons
N5MV,12/16/2023,mmu,lga,,54 minutes,270 gallons
N5MV,09/05/2023,mvy,mmu,,54 minutes,270 gallons
N5MV,02/04/2023,mmu,hpn,,54 minutes,270 gallons
N5MV,12/03/2023,mmu,hpn,,53 minutes,270 gallons
N5MV,10/28/2023,mmu,lga,,53 minutes,270 gallons
N5MV,03/20/2023,mmu,lga,,53 minutes,270 gallons
N5MV,01/18/2024,mmu,lga,,52 minutes,260 gallons
